date,Unnamed: 0,day,new_id,retweets,favorites,text,ss_compound
2009-05-04,1,2009-05-04,1,500,868,Be sure to tune in and watch Donald Trump on Late Night with David Letterman as he presents the Top Ten List tonight!,0.5255
2009-05-05,2,2009-05-05,2,33,273,Donald Trump will be appearing on The View tomorrow morning to discuss Celebrity Apprentice and his new book Think Like A Champion!,0.7712
2009-05-08,4,2009-05-08,3,12,24,New Blog Post: Celebrity Apprentice Finale and Lessons Learned Along the Way: ,0.6468
2009-05-12,6,2009-05-12,4,1399,1965,My persona will never be that of a wallflower - I<U+2019>d rather build walls than cling to them --Donald J. Trump,0.4809
2009-05-13,7,2009-05-13,5,14,16,"Listen to an interview with Donald Trump discussing his new book, Think Like A Champion: ",0.7506
2009-05-14,8,2009-05-14,6,18,25,Strive for wholeness and keep your sense of wonder intact. --Donald J. Trump ,0.2023
2009-05-15,9,2009-05-15,7,14,8,Enter the Think Like A Champion signed book and keychain contest: ,0.7506
2009-05-17,11,2009-05-17,8,38,67,"When the achiever achieves, it's not a plateau, it<U+2019>s a beginning. --Donald J. Trump ",0.7717
2009-05-18,12,2009-05-18,9,64,102,We win in our lives by having a champion's view of each moment. --Donald J. Trump ,0.5859
2009-05-19,13,2009-05-19,10,18,17,...these days...we could all use a little of the power of Trumpative thinking. <U+2013>BarnesandNoble.com ,0.0
2009-05-20,14,2009-05-20,11,29,53,Always know you could be on the precipice of something great. --Donald J. Trump ,0.6249
2009-05-21,15,2009-05-21,12,8,10,Read a great interview with Donald Trump that appeared in The New York Times Magazine: ,0.6249
2009-05-22,17,2009-05-22,13,52,70,"Keep it fast, short and direct - whatever it is. --Donald J. Trump ",0.7944
2009-05-23,18,2009-05-23,14,54,77,Did you know Donald Trump is on Facebook?  - Become a fan today!,0.3802
2009-05-26,19,2009-05-26,15,42,73,Your higher self is in direct opposition to your comfort zone. --Donald J. Trump ,0.3612
2009-05-27,20,2009-05-27,16,4,12,Read an excerpt from Think Like A Champion by Donald J. Trump: ,0.7506
2009-05-28,21,2009-05-28,17,61,57,You have to know when to call it quits and when to keep moving forward. --Donald J. Trump ,0.0
2009-06-03,22,2009-06-03,18,14,20,Check out Donald Trump's new iGoogle Showcase page: ,0.0
2009-06-05,23,2009-06-05,19,12,31,"<U+201C>If you don't have problems, you're pretending or you don't run your own business.<U+201D> <U+2013>Donald J. Trump ",0.3935
2009-06-08,24,2009-06-08,20,9,3,Last week to enter the Think Like A Champion signed book and keychain contest: ,0.7506
2009-06-14,25,2009-06-14,21,17,16,Today is Donald Trump's Birthday! Send him your B'day wishes here: ,0.2244
2009-06-16,26,2009-06-16,22,36,36,Thanks to all for your thoughtful birthday wishes <U+2013> Donald Trump,0.7269
2009-06-18,27,2009-06-18,23,18,17,"RE: FB Vanity URLs: SF Chronicle - David Beckham was one of the first, along with Britney Spears & Donald Trump. ",-0.2263
